Specimen Collection Date,New Cases,Cumulative Cases,Data As Of,Data Loaded At
06/12/2021 12:00:00 AM,8,36984,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
06/15/2021 12:00:00 AM,9,37011,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
06/18/2021 12:00:00 AM,11,37054,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
06/21/2021 12:00:00 AM,21,37085,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
06/24/2021 12:00:00 AM,21,37132,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
06/27/2021 12:00:00 AM,9,37167,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
06/30/2021 12:00:00 AM,40,37281,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
07/03/2021 12:00:00 AM,37,37394,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
07/06/2021 12:00:00 AM,69,37493,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
07/09/2021 12:00:00 AM,89,37772,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
07/12/2021 12:00:00 AM,110,38006,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
07/15/2021 12:00:00 AM,176,38433,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
07/18/2021 12:00:00 AM,70,38742,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
07/21/2021 12:00:00 AM,253,39426,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
07/24/2021 12:00:00 AM,153,40043,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
07/27/2021 12:00:00 AM,350,40785,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
07/30/2021 12:00:00 AM,269,41903,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
08/02/2021 12:00:00 AM,357,42614,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
08/05/2021 12:00:00 AM,298,43582,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
08/08/2021 12:00:00 AM,133,44126,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
08/11/2021 12:00:00 AM,270,44928,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
08/14/2021 12:00:00 AM,121,45503,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
08/17/2021 12:00:00 AM,221,46076,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
08/20/2021 12:00:00 AM,156,46654,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
08/23/2021 12:00:00 AM,184,47005,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
08/26/2021 12:00:00 AM,170,47524,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
08/29/2021 12:00:00 AM,69,47796,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
09/01/2021 12:00:00 AM,146,48230,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
09/04/2021 12:00:00 AM,65,48516,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
09/07/2021 12:00:00 AM,149,48791,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
09/10/2021 12:00:00 AM,121,49208,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
09/13/2021 12:00:00 AM,124,49447,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
09/16/2021 12:00:00 AM,121,49832,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
09/19/2021 12:00:00 AM,65,50062,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
09/22/2021 12:00:00 AM,105,50356,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
09/25/2021 12:00:00 AM,47,50577,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
09/28/2021 12:00:00 AM,75,50812,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
10/01/2021 12:00:00 AM,95,51136,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
10/04/2021 12:00:00 AM,88,51303,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
10/07/2021 12:00:00 AM,71,51575,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
